Voltage,Current
17.25,0.00
17.08,0.57
16.82,1.06
16.67,1.61
16.51,1.76
16.18,2.26
15.57,2.64
15.02,3.05
14.61,3.12
14.04,3.47
13.38,3.70
12.85,3.99
12.54,4.01
12.11,4.28
11.62,4.45
11.15,4.64
10.58,4.85
10.25,5.04
9.90,5.16
9.53,5.28
9.23,5.21
9.10,5.44
8.65,5.43
8.47,5.60
8.33,5.60
8.20,5.78
7.73,5.68
7.59,5.83
7.55,5.88
7.28,5.90
7.16,6.02
6.92,6.06
6.18,6.24
6.01,6.26
5.85,6.27
5.79,6.40
5.79,6.46
5.61,6.45
5.52,6.50
5.34,6.47
5.30,6.48
5.22,6.56
5.03,6.46
5.07,6.68
4.91,6.53
4.85,6.61
4.87,6.78
4.73,6.75
4.64,6.80
4.52,6.78
4.42,6.77
4.32,6.76
4.42,6.96
4.28,6.88
4.24,6.95
4.13,6.89
3.99,6.71
4.03,6.91
3.99,6.96
3.89,6.92
3.85,6.89
3.91,7.12
3.76,6.95
3.72,7.00
2.35,7.11
2.37,7.25
2.43,7.50
2.31,7.22
2.33,7.30
2.29,7.25
2.29,7.32
2.21,7.15
2.37,7.68
2.29,7.50
2.15,7.12
2.23,7.45
2.25,7.54
2.17,7.35
2.15,7.34
2.11,7.28
2.15,7.51
2.15,7.58
2.03,7.22
2.11,7.57
2.01,7.24
2.07,7.52
2.01,7.37
1.90,7.00
1.96,7.24
1.96,7.31
2.03,7.66
1.88,7.13
1.98,7.52
1.92,7.36
1.82,7.04
1.90,7.41
1.82,7.35
1.82,7.41
1.78,7.30
1.76,7.28
1.84,7.62
1.72,7.19
1.66,7.00
1.80,7.63
1.76,7.49
1.66,7.13
1.80,7.77
1.72,7.49
1.64,7.16
1.78,7.82
1.76,7.79
1.68,7.50
1.55,6.95
1.64,7.44
1.58,7.23
1.60,7.37
1.53,7.02
1.56,7.26
1.66,7.76
1.62,7.63
1.53,7.19
1.47,6.96
1.56,7.47
1.55,7.43
1.53,7.35
1.55,7.50
1.51,7.35
1.56,7.69
0.33,7.69
0.39,7.69
0.35,7.69
0.33,7.69
0.31,7.69
0.35,7.69
0.25,7.69
0.31,7.69
0.35,7.69
0.29,7.69
0.37,7.69
0.27,7.69
0.29,7.69
0.27,7.69
0.31,7.69
0.29,7.69
0.41,7.69
0.33,7.69
0.41,7.69
0.33,7.69
0.31,7.69
0.33,7.69
0.27,7.69
0.33,7.69
0.25,7.69
0.31,7.69
0.29,7.69
0.33,7.69
0.35,7.69
0.29,7.69
0.31,7.69
0.33,7.69
0.27,7.69
0.23,7.69
0.33,7.69
0.23,7.69
0.31,7.69
0.29,7.69
0.31,7.69
0.33,7.69
0.37,7.69
0.27,7.69
0.25,7.69
0.23,7.69
0.25,7.69
0.35,7.69
0.20,7.69
0.29,7.69
0.31,7.69
0.31,7.69
0.35,7.69
0.27,7.69
0.37,7.69
0.35,7.69
0.37,7.69
0.37,7.69
0.33,7.69
0.31,7.69
0.37,7.69
0.27,7.69
0.33,7.69
0.33,7.69
0.29,7.69
0.33,7.69
0.27,7.69
0.35,7.69
0.23,7.69
0.27,7.69
0.27,7.69
0.27,7.69
0.29,7.69
0.29,7.69
0.23,7.69
0.31,7.69
0.31,7.69
0.35,7.69
0.37,7.69
0.29,7.69
0.33,7.69
0.33,7.69
0.20,7.69
0.31,7.69
0.29,7.69
0.20,7.69
0.27,7.69
0.35,7.69
0.35,7.69
0.35,7.69
0.18,7.69
0.20,7.69
0.25,7.69
0.25,7.69
0.27,7.69
0.29,7.69
0.25,7.69
0.35,7.69
0.31,7.69
0.20,7.69
0.20,7.69
0.33,7.69
0.18,7.69
0.22,7.69
